Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
Trauma Violence & Abuse,TRAUMA VIOLENCE ABUS,1524-8380,1552-8324,5.4,7.0,SOCIAL WORK,Q1,1/91,trauma violence and abuse,,
DIABETES OBESITY & METABOLISM,DIABETES OBES METAB,1462-8902,1463-1326,5.4,5.5,ENDOCRINOLOGY & METABOLISM,Q1,26/186,diabetes obesity and metabolism,,DIABETES
Strategic Entrepreneurship Journal,STRATEG ENTREP J,1932-4391,1932-443X,5.4,11.0,MANAGEMENT,Q1,73/401,strategic entrepreneurship journal,,
JMIR mHealth and uHealth,JMIR MHEALTH UHEALTH,2291-5222,2291-5222,5.4,5.6,MEDICAL INFORMATICS,Q1,6/44,jmir mhealth and uhealth,,JMIR
Resources Conservation & Recycling Advances,RESOUR CONS RECY ADV,2667-3789,2667-3789,5.4,5.4,ENVIRONMENTAL SCIENCES,Q1,69/358,resources conservation and recycling advances,,
CURRENT ALLERGY AND ASTHMA REPORTS,CURR ALLERGY ASTHM R,1529-7322,1534-6315,5.4,5.0,IMMUNOLOGY,Q1,42/181,current allergy and asthma reports,,
Asian Economic Papers,ASIAN ECON PAP,1535-3516,1536-0083,5.3,2.7,ECONOMICS,Q1,49/597,asian economic papers,,
BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,0960-1643,1478-5242,5.3,6.0,PRIMARY HEALTH CARE,Q1,1/30,british journal of general practice,,
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,0960-0779,1873-2887,5.3,5.4,"PHYSICS, MULTIDISCIPLINARY",Q1,17/110,chaos solitons and fractals,,CHAOS
International Journal of Clinical and Health Psychology,INT J CLIN HLTH PSYC,1697-2600,1576-7329,5.3,4.8,"PSYCHOLOGY, CLINICAL",Q1,9/180,international journal of clinical and health psychology,,
JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,0022-166X,1548-8004,5.3,5.2,INDUSTRIAL RELATIONS & LABOR,Q1,2/49,journal of human resources,,
ACADEMIC MEDICINE,ACAD MED,1040-2446,1938-808X,5.3,6.7,HEALTH CARE SCIENCES & SERVICES,Q1,13/174,academic medicine,,
European Heart Journal-Cardiovascular Pharmacotherapy,EUR HEART J-CARD PHA,2055-6837,2055-6845,5.3,5.1,PHARMACOLOGY & PHARMACY,Q1,34/354,european heart journal cardiovascular pharmacotherapy,,
JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,0047-2778,1540-627X,5.3,5.8,MANAGEMENT,Q1,76/401,journal of small business management,,
SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,0586-7614,1745-1701,5.3,6.7,PSYCHIATRY,Q1,28/276,schizophrenia bulletin,,SCHIZOPHRENIA
International Journal of Advertising,INT J ADVERT,0265-0487,1759-3948,5.3,6.2,COMMUNICATION,Q1,8/227,international journal of advertising,,
Autism Research,AUTISM RES,1939-3792,1939-3806,5.3,5.5,"PSYCHOLOGY, DEVELOPMENTAL",Q1,8/91,autism research,,
Journal of Hospitality and Tourism Technology,J HOSP TOUR TECHNOL,1757-9880,1757-9899,5.3,6.4,"HOSPITALITY, LEISURE, SPORT & TOURISM",Q1,19/139,journal of hospitality and tourism technology,,
Chinese Medicine,CHIN MED-UK,1749-8546,1749-8546,5.3,5.5,PHARMACOLOGY & PHARMACY,Q1,34/354,chinese medicine,,
Business & Society,BUS SOC,0007-6503,1552-4205,5.3,7.2,BUSINESS,Q1,61/302,business and society,,
MOLECULAR CANCER THERAPEUTICS,MOL CANCER THER,1535-7163,1538-8514,5.3,5.4,ONCOLOGY,Q1,61/322,molecular cancer therapeutics,,
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,0001-690X,1600-0447,5.3,6.6,PSYCHIATRY,Q1,28/276,acta psychiatrica scandinavica,,ACTA
General Psychiatry,GEN PSYCHIAT,2096-5923,2517-729X,5.3,6.2,PSYCHIATRY,Q1,28/276,general psychiatry,,
JCO Precision Oncology,JCO PRECIS ONCOL,,2473-4284,5.3,5.1,ONCOLOGY,Q1,61/322,jco precision oncology,,JCO
MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,0047-6374,1872-6216,5.3,5.5,GERIATRICS & GERONTOLOGY,Q1,9/74,mechanisms of ageing and development,,
Skeletal Muscle,SKELET MUSCLE,2044-5040,2044-5040,5.3,5.0,CELL BIOLOGY,Q2,59/205,skeletal muscle,,
Biologics-Targets & Therapy,BIOL-TARGETS THER,1177-5475,1177-5491,5.3,4.4,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,37/189,biologics targets and therapy,,
YALE LAW JOURNAL,YALE LAW J,0044-0094,1939-8611,5.2,5.3,LAW,Q1,2/421,yale law journal,,YALE
Digital Journalism,DIGIT JOURNAL,2167-0811,2167-082X,5.2,7.2,COMMUNICATION,Q1,9/227,digital journalism,,
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,J PUBL ADM RES THEOR,1053-1858,1477-9803,5.2,6.6,PUBLIC ADMINISTRATION,Q1,4/91,journal of public administration research and theory,,
Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,1319-1578,2213-1248,5.2,5.2,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q1,40/249,journal of king saud university computer and information sciences,,
CHINA ECONOMIC REVIEW,CHINA ECON REV,1043-951X,1873-7781,5.2,6.2,ECONOMICS,Q1,51/597,china economic review,,CHINA
JOURNAL OF VOCATIONAL BEHAVIOR,J VOCAT BEHAV,0001-8791,1095-9084,5.2,9.4,"PSYCHOLOGY, APPLIED",Q1,14/113,journal of vocational behavior,,
Body Image,BODY IMAGE,1740-1445,1873-6807,5.2,6.1,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,17/218,body image,,
ENVIRONMENTAL POLITICS,ENVIRON POLIT,0964-4016,1743-8934,5.2,6.2,POLITICAL SCIENCE,Q1,5/317,environmental politics,,
Psoriasis-Targets and Therapy,PSORIASIS-TARGETS TH,,2230-326X,5.2,4.3,DERMATOLOGY,Q1,10/94,psoriasis targets and therapy,,
Revista de Psiquiatria y Salud Mental,REV PSIQUIATR SALUD,1888-9891,1989-4600,5.2,4.1,PSYCHIATRY,Q1,32/276,revista de psiquiatria y salud mental,,
ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,0013-9165,1552-390X,5.2,6.8,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,17/218,environment and behavior,,
Immunity & Ageing,IMMUN AGEING,1742-4933,1742-4933,5.2,6.4,IMMUNOLOGY,Q1,45/181,immunity and ageing,,
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,2040-803X,5.2,5.9,MANAGEMENT,Q1,77/401,sustainability accounting management and policy journal,,
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,1350-6129,1744-2818,5.2,6.7,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,39/189,amyloid journal of protein folding disorders,,AMYLOID
Journal of Product and Brand Management,J PROD BRAND MANAG,1061-0421,2054-1643,5.2,5.7,MANAGEMENT,Q1,77/401,journal of product and brand management,,
Strategic Organization,STRATEG ORGAN,1476-1270,1741-315X,5.2,6.3,MANAGEMENT,Q1,77/401,strategic organization,,
CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,1040-8711,1531-6963,5.2,5.0,RHEUMATOLOGY,Q1,7/57,current opinion in rheumatology,,
EPIDEMIOLOGIC REVIEWS,EPIDEMIOL REV,0193-936X,1478-6729,5.2,6.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,32/403,epidemiologic reviews,,
Current Diabetes Reports,CURR DIABETES REP,1534-4827,1539-0829,5.2,5.8,ENDOCRINOLOGY & METABOLISM,Q1,28/186,current diabetes reports,,
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,0266-4909,1365-2729,5.1,5.4,EDUCATION & EDUCATIONAL RESEARCH,Q1,13/756,journal of computer assisted learning,,
PSYCHOLOGICAL REVIEW,PSYCHOL REV,0033-295X,1939-1471,5.1,7.4,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,19/218,psychological review,,
Child Development Perspectives,CHILD DEV PERSPECT,1750-8592,1750-8606,5.1,7.8,"PSYCHOLOGY, DEVELOPMENTAL",Q1,10/91,child development perspectives,,
Behavioural Public Policy,BEHAV PUBLIC POLICY,2398-063X,2398-0648,5.1,,PUBLIC ADMINISTRATION,Q1,5/91,behavioural public policy,,
Engineering Science and Technology-An International Journal-JESTECH,ENG SCI TECHNOL,2215-0986,2215-0986,5.1,4.8,"ENGINEERING, MULTIDISCIPLINARY",Q1,18/179,engineering science and technology an international journal jestech,,
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,1098-7339,1532-8651,5.1,5.4,ANESTHESIOLOGY,Q1,5/64,regional anesthesia and pain medicine,,
Journal of Rural Studies,J RURAL STUD,0743-0167,1873-1392,5.1,5.5,REGIONAL & URBAN PLANNING,Q1,6/54,journal of rural studies,,
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,0304-3878,1872-6089,5.1,6.1,ECONOMICS,Q1,52/597,journal of development economics,,
RMD Open,RMD OPEN,2056-5933,2056-5933,5.1,5.0,RHEUMATOLOGY,Q1,8/57,rmd open,,RMD
SURVEY OF OPHTHALMOLOGY,SURV OPHTHALMOL,0039-6257,1879-3304,5.1,5.9,OPHTHALMOLOGY,Q1,5/95,survey of ophthalmology,,
Information Technology for Development,INFORM TECHNOL DEV,0268-1102,1554-0170,5.1,5.4,INFORMATION SCIENCE & LIBRARY SCIENCE,Q1,19/160,information technology for development,,
PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,1365-7852,1476-5608,5.1,4.8,UROLOGY & NEPHROLOGY,Q1,12/126,prostate cancer and prostatic diseases,,PROSTATE
Travel Behaviour and Society,TRAVEL BEHAV SOC,2214-367X,2214-3688,5.1,5.5,TRANSPORTATION,Q1,11/57,travel behaviour and society,,
Journal of Theoretical and Applied Electronic Commerce Research,J THEOR APPL EL COMM,0718-1876,0718-1876,5.1,5.1,BUSINESS,Q1,65/302,journal of theoretical and applied electronic commerce research,,
Tissue Engineering Part B-Reviews,TISSUE ENG PART B-RE,1937-3368,1937-3376,5.1,8.9,"MATERIALS SCIENCE, BIOMATERIALS",Q2,17/53,tissue engineering part b reviews,,
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,0022-2437,1547-7193,5.1,7.4,BUSINESS,Q1,65/302,journal of marketing research,,
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,1072-4109,1533-4031,5.1,5.2,PATHOLOGY,Q1,9/88,advances in anatomic pathology,,
Asian Journal of Transfusion Science,ASIAN J TRANSF SCI,0973-6247,1998-3565,0.6,0.7,HEMATOLOGY,Q4,89/97,asian journal of transfusion science,,
Chiang Mai Journal of Science,CHIANG MAI J SCI,0125-2526,0125-2526,0.6,0.7,MULTIDISCIPLINARY SCIENCES,Q3,97/134,chiang mai journal of science,,
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,DEUT MED WOCHENSCHR,0012-0472,1439-4413,0.6,0.5,"MEDICINE, GENERAL & INTERNAL",Q3,219/325,deutsche medizinische wochenschrift,,
European Journal of Environmental Sciences,EUR J ENVIRON SCI,1805-0174,2336-1964,0.6,0.8,ENVIRONMENTAL SCIENCES,Q4,338/358,european journal of environmental sciences,,
Indian Journal of Surgical Oncology,INDIA J SURG ONCOL,0975-7651,0976-6952,0.6,0.7,ONCOLOGY,Q4,299/322,indian journal of surgical oncology,,
Industrial Engineering and Management Systems,IND ENG MANAG SYST,1598-7248,2234-6473,0.6,0.4,"ENGINEERING, INDUSTRIAL",Q4,65/69,industrial engineering and management systems,,
INMATEH-Agricultural Engineering,INMATEH-AGRIC ENG,2068-4215,2068-2239,0.6,0.6,AGRICULTURAL ENGINEERING,Q4,18/20,inmateh agricultural engineering,,
Izvestiya Vysshikh Uchebnykh Zavedenii Khimiya i Khimicheskaya Tekhnologiya,IZV VUZ KHIM KH TEKH,0579-2991,2500-3070,0.6,0.5,"CHEMISTRY, MULTIDISCIPLINARY",Q4,199/230,izvestiya vysshikh uchebnykh zavedenii khimiya i khimicheskaya tekhnologiya,,
Journal of Endocrinology and Metabolism,J ENDOCRINOL METAB,1923-2861,1923-287X,0.6,0.5,ENDOCRINOLOGY & METABOLISM,Q4,170/186,journal of endocrinology and metabolism,,
M S-MEDECINE SCIENCES,M S-MED SCI,0767-0974,1958-5381,0.6,0.6,"MEDICINE, RESEARCH & EXPERIMENTAL",Q4,170/189,m s medecine sciences,,
RARE METAL MATERIALS AND ENGINEERING,RARE METAL MAT ENG,1002-185X,1875-5372,0.6,0.6,METALLURGY & METALLURGICAL ENGINEERING,Q4,75/90,rare metal materials and engineering,,RARE
Revista de Nutricao-Brazilian Journal of Nutrition,REV NUTR,1415-5273,1678-9865,0.6,0.8,NUTRITION & DIETETICS,Q4,100/114,revista de nutricao brazilian journal of nutrition,,
Revista Investigaciones Altoandinas-Journal of High Andean Research,REV INVESTIG ALTOAND,2306-8582,2313-2957,0.6,0.5,MULTIDISCIPLINARY SCIENCES,Q3,97/134,revista investigaciones altoandinas journal of high andean research,,
Schools-Studies in Education,SCHOOLS,1550-1175,2153-0327,0.6,0.5,EDUCATION & EDUCATIONAL RESEARCH,Q3,555/756,schools studies in education,,
Town and Regional Planning,TOWN REG PLAN,1012-280X,2415-0495,0.6,0.8,REGIONAL & URBAN PLANNING,Q4,50/54,town and regional planning,,
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,1330-027X,1847-6538,0.6,1.1,DERMATOLOGY,Q4,81/94,acta dermatovenerologica croatica,,
European Journal of Inflammation,EUR J INFLAMM,1721-727X,2058-7392,0.6,0.6,IMMUNOLOGY,Q4,178/181,european journal of inflammation,,
EVOLUTION PSYCHIATRIQUE,EVOL PSYCHIATR,0014-3855,1769-6674,0.6,0.4,PSYCHIATRY,Q4,243/276,evolution psychiatrique,,
Gaceta Medica de Mexico,GAC MED MEX,0016-3813,0016-3813,0.6,0.7,"MEDICINE, GENERAL & INTERNAL",Q3,219/325,gaceta medica de mexico,,
Intelligent Decision Technologies-Netherlands,INTELL DECIS TECHNOL,1872-4981,1875-8843,0.6,0.7,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q4,185/197,intelligent decision technologies netherlands,,
Kemija u Industriji-Journal of Chemists and Chemical Engineers,KEM IND,0022-9830,1334-9090,0.6,0.5,"CHEMISTRY, MULTIDISCIPLINARY",Q4,199/230,kemija u industriji journal of chemists and chemical engineers,,
MHSalud-Revista en Ciencias del Movimiento Humano y la Salud,MHSALUD,1659-097X,1659-097X,0.6,0.5,SPORT SCIENCES,Q4,107/127,mhsalud revista en ciencias del movimiento humano y la salud,,
New Materials Compounds and Applications,NEW MATER COMPOUND A,2521-7194,2523-4773,0.6,,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q4,408/438,new materials compounds and applications,,
Rivista Italiana delle Sostanze Grasse,RIV ITAL SOSTANZE GR,0035-6808,,0.6,0.5,FOOD SCIENCE & TECHNOLOGY,Q4,156/173,rivista italiana delle sostanze grasse,,
African Journal of Business Ethics,AFR J BUS ETHICS,1817-7417,0976-3600,0.6,0.7,BUSINESS,Q4,267/302,african journal of business ethics,,
Biochemistry Moscow-Supplement Series B-Biomedical Chemistry,BIOCHEM MOSC SUPPL B,1990-7508,1990-7516,0.6,0.4,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4,304/313,biochemistry moscow supplement series b biomedical chemistry,,
Bulletin of the University of Karaganda-Chemistry,B UNIV KARAGANDA-CHE,2518-718X,2663-4872,0.6,0.4,"CHEMISTRY, MULTIDISCIPLINARY",Q4,199/230,bulletin of the university of karaganda chemistry,,
Future of Food-Journal on Food Agriculture and Society,FUTURE FOOD,2197-411X,2197-411X,0.6,0.7,FOOD SCIENCE & TECHNOLOGY,Q4,156/173,future of food journal on food agriculture and society,,
Granja-Revista de Ciencias de la Vida,GRANJA,1390-3799,1390-8596,0.6,0.8,ENVIRONMENTAL SCIENCES,Q4,338/358,granja revista de ciencias de la vida,,
Journal of Digital Forensics Security and Law,J DIGIT FORENSICS SE,1558-7215,1558-7223,0.6,0.5,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q4,218/249,journal of digital forensics security and law,,
Journal of Mental Health and Human Behaviour,J MENT HEALTH HUM BE,0971-8990,2543-1897,0.6,,PSYCHIATRY,Q4,243/276,journal of mental health and human behaviour,,
Journal of the Australasian Tax Teachers Association,J AUSTRALAS TAX TEAC,1832-911X,1832-911X,0.6,0.4,ECONOMICS,Q4,466/597,journal of the australasian tax teachers association,,
Advances in Gerontology,ADV GERONTOL,2079-0570,2079-0589,0.6,0.4,GERIATRICS & GERONTOLOGY,Q4,71/74,advances in gerontology,,
Cailiao Gongcheng-Journal of Materials Engineering,CAILIAO GONGCHENG,1001-4381,1001-4381,0.6,0.5,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q4,408/438,cailiao gongcheng journal of materials engineering,,
Indian Journal of Sexually Transmitted Diseases and AIDS,INDIAN J SEX TRANSM,2589-0557,2589-0565,0.6,0.7,INFECTIOUS DISEASES,Q4,122/132,indian journal of sexually transmitted diseases and aids,,
International Journal of Services Technology and Management,INT J SERV TECHNOL M,1460-6720,1741-525X,0.6,0.4,MANAGEMENT,Q4,357/401,international journal of services technology and management,,
Science and Innovation,SCI INNOV,2409-9066,2413-4996,0.6,0.4,MULTIDISCIPLINARY SCIENCES,Q3,97/134,science and innovation,,
Space Science and Technology-Kosmicna Nauka i Tehnologia,SPACE SCI TECHNOL,1561-8889,2518-1459,0.6,0.4,ASTRONOMY & ASTROPHYSICS,Q4,72/84,space science and technology kosmicna nauka i tehnologia,,
GENETICS AND MOLECULAR RESEARCH,GENET MOL RES,,1676-5680,0.6,0.7,GENETICS & HEREDITY,Q4,182/191,genetics and molecular research,,
Electronic Journal of the Faculty of Civil Engineering Osijek-e-GFOS,ELECTRON J FAC CIV E,,1847-8948,0.6,0.5,"ENGINEERING, CIVIL",Q4,159/181,electronic journal of the faculty of civil engineering osijek e gfos,,
Journal of the Korean Electrochemical Society,J KOREAN ELECTROCHEM,1229-1935,1229-1935,0.6,0.4,ELECTROCHEMISTRY,Q4,45/45,journal of the korean electrochemical society,,
Revista de Gestao e Projetos,REV GES PROJ,2236-0972,2236-0972,0.6,0.6,BUSINESS,Q4,267/302,revista de gestao e projetos,,
Ambitos-Revista de Estudios de Ciencias Sociales y Humanidades,AMBITOS,1575-2100,1575-2100,0.6,0.6,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,ambitos revista de estudios de ciencias sociales y humanidades,,
Annual Review of CyberTherapy and Telemedicine,ANN REV CYBERTHERAPY,1554-8716,2352-927X,0.6,0.9,"COMPUTER SCIENCE, CYBERNETICS",Q4,29/32,annual review of cybertherapy and telemedicine,,
Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao,ENCONTROS BIBLI,,1518-2924,0.6,0.4,INFORMATION SCIENCE & LIBRARY SCIENCE,Q3,109/160,encontros bibli revista eletronica de biblioteconomia e ciencia da informacao,,
Farmaceuticos Comunitarios,FARM COMUNITARIOS,1885-8619,2173-9218,0.6,0.5,HEALTH POLICY & SERVICES,Q4,114/118,farmaceuticos comunitarios,,
Noema-Rivista Online di Filosofia,NOEMA,2239-5474,2239-5474,0.6,0.4,PHILOSOPHY,N/A,N/A,noema rivista online di filosofia,,
Global Media Journal-Canadian Edition,GLOB MEDIA J-CAN ED,1918-5901,1918-5901,0.6,1.4,COMMUNICATION,Q3,169/227,global media journal canadian edition,,
Neizvestnyi Dostoevskii-The Unknown Dostoevsky,NEIZVESTNYI DOSTOEVS,,2409-5788,0.5,0.4,"LITERATURE, SLAVIC",N/A,N/A,neizvestnyi dostoevskii the unknown dostoevsky,,
JOURNAL OF AMERICAN FOLKLORE,J AM FOLKLORE,0021-8715,1535-1882,0.5,0.8,FOLKLORE,N/A,N/A,journal of american folklore,,
Drama Therapy Review,DRAMA THER REV,2054-7668,2054-7676,0.5,0.6,THEATER,N/A,N/A,drama therapy review,,
CounterText-A Journal for the Study of the Post-Literary,COUNTERTEXT,2056-4406,2056-4414,0.5,0.3,LITERARY THEORY & CRITICISM,N/A,N/A,countertext a journal for the study of the post literary,,
Cambridge Classical Journal,CAMB CLASS J,1750-2705,2047-993X,0.5,0.7,CLASSICS,N/A,N/A,cambridge classical journal,,
Journal of the Economic and Social History of the Orient,J ECON SOC HIST ORIE,0022-4995,1568-5209,0.5,0.9,HISTORY,Q1,84/518,journal of the economic and social history of the orient,,
MFS-Modern Fiction Studies,MFS-MOD FICT STUD,0026-7724,1080-658X,0.5,0.5,LITERATURE,N/A,N/A,mfs modern fiction studies,,
COLLEGE COMPOSITION AND COMMUNICATION,COLL COMPOS COMMUN,0010-096X,1939-9006,0.5,0.7,LITERATURE,N/A,N/A,college composition and communication,,
Review of Faith & International Affairs,REV FAITH INT AFF,1557-0274,1931-7743,0.5,1.0,RELIGION,N/A,N/A,review of faith and international affairs,,
CHAUCER REVIEW,CHAUCER REV,0009-2002,1528-4204,0.5,0.4,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,chaucer review,,CHAUCER
Journal of the Institute of Conservation,J INST CONSERV,1945-5224,1945-5232,0.5,0.7,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,journal of the institute of conservation,,
Journal of Chinese Religions,J CHINESE RELIG,0737-769X,2050-8999,0.5,,RELIGION,N/A,N/A,journal of chinese religions,,
RELIGIOUS STUDIES,RELIG STUD,0034-4125,1469-901X,0.5,0.6,RELIGION,N/A,N/A,religious studies,,
Bylye Gody,BYLYE GODY,2073-9745,2310-0028,0.5,0.4,HISTORY,Q1,84/518,bylye gody,,
ENGLISH HISTORICAL REVIEW,ENGL HIST REV,0013-8266,1477-4534,0.5,0.6,HISTORY,Q1,84/518,english historical review,,
Plainsong & Medieval Music,PLAINSONG MEDIEV MUS,0961-1371,1474-0087,0.5,0.5,MUSIC,N/A,N/A,plainsong and medieval music,,
PATTERNS OF PREJUDICE,PATTERNS PREJUDICE,0031-322X,1461-7331,0.5,2.1,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,patterns of prejudice,,PATTERNS
Cultural & Social History,CULT SOC HIST,1478-0038,1478-0046,0.5,0.7,HISTORY,Q1,84/518,cultural and social history,,
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,S ASIA,0085-6401,1479-0270,0.5,1.2,HISTORY,Q1,84/518,south asia journal of south asian studies,,
European Review of History-Revue Europeenne d Histoire,EUR REV HIST,1350-7486,1469-8293,0.5,0.6,HISTORY,Q1,84/518,european review of history revue europeenne d histoire,,
History & Memory,HIST MEM,0935-560X,1527-1994,0.5,0.4,HISTORY,Q1,84/518,history and memory,,
Method & Theory in the Study of Religion,METH THEORY STUD REL,0943-3058,1570-0682,0.5,0.5,RELIGION,N/A,N/A,method and theory in the study of religion,,
Historical Encounters-A Journal of Historical Consciousness Historical Cultures and History Education,HIST ENCOUNT,2203-7543,2203-7543,0.5,0.6,HISTORY,Q1,84/518,historical encounters a journal of historical consciousness historical cultures and history education,,
COMPARATIVE LITERATURE,COMP LITERATURE,0010-4124,1945-8517,0.5,0.5,LITERATURE,N/A,N/A,comparative literature,,
WOMENS HISTORY REVIEW,WOMEN HIST REV,0961-2025,1747-583X,0.5,0.7,HISTORY,Q1,84/518,womens history review,,
RIDE-The Journal of Applied Theatre and Performance,RIDE-J APPL THEATRE,1356-9783,1470-112X,0.5,0.7,THEATER,N/A,N/A,ride the journal of applied theatre and performance,,
International Journal of Asian Studies,INT J ASIAN STUD,1479-5914,1479-5922,0.5,0.5,ASIAN STUDIES,N/A,N/A,international journal of asian studies,,
Twentieth-Century China,TWENT-CENTURY CHINA,1521-5385,1940-5065,0.5,0.6,HISTORY,Q1,84/518,twentieth century china,,
SEMINAR-A JOURNAL OF GERMANIC STUDIES,SEMINAR-J GER STUD,0037-1939,1911-026X,0.5,0.5,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",N/A,N/A,seminar a journal of germanic studies,,
RETHINKING HISTORY,RETHINK HIST,1364-2529,1470-1154,0.5,0.9,HISTORY,Q1,84/518,rethinking history,,
TEXTUAL PRACTICE,TEXTUAL PRACT,0950-236X,1470-1308,0.5,0.4,LITERATURE,N/A,N/A,textual practice,,TEXTUAL
SOCIAL SCIENCE HISTORY,SOC SCI HIST,0145-5532,1527-8034,0.5,1.2,HISTORY OF SOCIAL SCIENCES,Q3,27/42,social science history,,
Contemporary South Asia,CONTEMP SOUTH ASIA,0958-4935,1469-364X,0.5,1.4,ASIAN STUDIES,N/A,N/A,contemporary south asia,,
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,J ART MANAG LAW SOC,1063-2921,1930-7799,0.5,0.8,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,journal of arts management law and society,,
History Compass,HISTORY COMPASS,1478-0542,1478-0542,0.5,0.6,HISTORY,Q1,84/518,history compass,,
HISTORY OF POLITICAL THOUGHT,HIST POLIT THOUGHT,0143-781X,2051-2988,0.5,0.5,HISTORY,Q1,84/518,history of political thought,,
INTERNATIONAL HISTORY REVIEW,INT HIST REV,0707-5332,1949-6540,0.5,0.6,HISTORY,Q1,84/518,international history review,,
Adaptation-The Journal of Literature on Screen Studies,ADAPTATION-UK,1755-0637,1755-0645,0.5,0.6,LITERATURE,N/A,N/A,adaptation the journal of literature on screen studies,,
SHAKESPEARE QUARTERLY,SHAKESPEARE QUART,0037-3222,1538-3555,0.5,0.5,THEATER,N/A,N/A,shakespeare quarterly,,SHAKESPEARE
TEXTILE HISTORY,TEXT HIST,0040-4969,1743-2952,0.5,0.5,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,textile history,,
Acta Histriae,ACTA HISTRIAE,1318-0185,2591-1767,0.5,0.4,HISTORY,Q1,84/518,acta histriae,,
INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,INT J PHILOS RELIG,0020-7047,1572-8684,0.5,0.6,RELIGION,N/A,N/A,international journal for philosophy of religion,,
JCMS-Journal of Cinema and Media Studies,JCMS-J CINE MEDIA ST,2578-4900,2578-4919,0.5,0.7,"FILM, RADIO, TELEVISION",N/A,N/A,jcms journal of cinema and media studies,,
Analisis Filosofico,ANAL FILOS,0326-1301,1851-9636,0.5,0.4,PHILOSOPHY,N/A,N/A,analisis filosofico,,
German History,GER HIST,0266-3554,1477-089X,0.5,0.6,HISTORY,Q1,84/518,german history,,
Journal of Israeli History,J ISR HIST,1353-1042,1744-0548,0.5,0.6,HISTORY,Q1,84/518,journal of israeli history,,
STUDIES IN THE NOVEL,STUD NOVEL,0039-3827,1934-1512,0.5,0.5,LITERATURE,N/A,N/A,studies in the novel,,
Historia y Comunicacion Social,HIST COMUN SOC,1137-0734,1988-3056,0.5,0.6,HISTORY,Q1,84/518,historia y comunicacion social,,
Public History Review,PUBLIC HIST REV,1037-9851,1833-4989,0.5,0.5,HISTORY,Q1,84/518,public history review,,
Exemplaria-Medieval Early Modern Theory,EXEMPLARIA,1041-2573,1753-3074,0.5,0.5,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,exemplaria medieval early modern theory,,
JEWISH SOCIAL STUDIES,JEWISH SOC STUD,0021-6704,1527-2028,0.5,0.6,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,jewish social studies,,JEWISH
