JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas
6008.0,REJUVENATION RESEARCH,2024.0,REJUV RES,"MARY ANN LIEBERT, INC",1549-1684,1557-8577,2049.0,36.0,37.0,10.1,5.9,2.6,2.7,2.6,0.62,Q3,42/73,rejuvenation research,Rejuvenation Res.,0.582,Q3,70.0,Geriatrics and Gerontology (Q3); Aging (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
6008.0,Acupuncture in Medicine,2024.0,ACUPUNCT MED,SAGE PUBLICATIONS LTD,0964-5284,1759-9873,1624.0,22.0,22.0,7.5,8.3,2.6,2.6,2.5,0.61,Q2,17/45,acupuncture in medicine,Acupunct. Med.,0.465,Q2,54.0,Complementary and Alternative Medicine (Q2); Medicine (miscellaneous) (Q3); Neurology (clinical) (Q3),Medicine
6008.0,Canadian Journal of Diabetes,2024.0,CAN J DIABETES,ELSEVIER,1499-2671,2352-3840,2781.0,55.0,61.0,6.2,7.8,2.6,2.5,2.4,0.61,Q3,114/191,canadian journal of diabetes,Can. J. Diabetes,0.829,Q2,54.0,"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2); Medicine (miscellaneous) (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine"
6008.0,CURRENT MICROBIOLOGY,2024.0,CURR MICROBIOL,SPRINGER,0343-8651,1432-0991,10736.0,399.0,453.0,6.4,7.7,2.6,2.6,2.5,0.61,Q3,99/163,current microbiology,Curr. Microbiol.,0.566,Q2,108.0,Applied Microbiology and Biotechnology (Q2); Medicine (miscellaneous) (Q2); Microbiology (Q3),Immunology and Microbiology; Medicine
6008.0,International Review of Finance,2024.0,INT REV FINANC,WILEY,1369-412X,1468-2443,939.0,28.0,28.0,4.9,11.5,2.6,2.2,2.6,0.61,Q2,74/241,international review of finance,Int. Rev. Financ.,0.46,Q2,27.0,Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance"
6008.0,Journal of Global Economic Analysis,2024.0,J GLOB ECON ANAL,CENTER GLOBAL TRADE ANALYSIS,2377-2999,2377-2999,263.0,5.0,5.0,5.8,6.6,2.6,4.0,2.4,0.61,Q1,145/617,journal of global economic analysis,J. Glob. Econ. Anal.,1.716,Q1,15.0,"Applied Mathematics (Q1); Economics and Econometrics (Q1); Statistics, Probability and Uncertainty (Q1)","Decision Sciences; Economics, Econometrics and Finance; Mathematics"
6008.0,Endocrinology Diabetes & Metabolism,2024.0,ENDOCRIN DIAB METAB,WILEY,,2398-9238,1037.0,45.0,55.0,3.4,7.9,2.6,2.5,2.6,0.6,Q3,114/191,endocrinology diabetes and metabolism,Endocrin. Diab. Metab.,,,,,
6008.0,EUROPEAN JOURNAL OF CONTROL,2024.0,EUR J CONTROL,ELSEVIER,0947-3580,1435-5671,2458.0,201.0,201.0,4.4,7.5,2.6,2.5,2.3,0.6,Q2,37/89,european journal of control,Eur. J. Control,1.214,Q1,71.0,Engineering (miscellaneous) (Q1),Engineering
6008.0,International Journal of Information and Learning Technology,2024.0,INT J INF LEARN TECH,EMERALD GROUP PUBLISHING LTD,2056-4880,2056-4880,764.0,33.0,34.0,4.7,4.9,2.6,2.9,2.4,0.6,Q3,96/175,international journal of information and learning technology,Int. J. Inf. Learn. Tech.,0.721,Q1,38.0,Education (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2),Computer Science; Social Sciences
6008.0,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2024.0,J EUKARYOT MICROBIOL,WILEY,1066-5234,1550-7408,3067.0,28.0,42.0,12.3,11.3,2.6,2.5,2.5,0.6,Q3,99/163,journal of eukaryotic microbiology,J. Eukaryotic Microbiol.,0.656,Q3,87.0,Microbiology (Q3),Immunology and Microbiology
6008.0,JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,2024.0,J INTERV CARD ELECTR,SPRINGER,1383-875X,1572-8595,3434.0,145.0,167.0,4.3,6.5,2.6,2.1,2.2,0.6,Q2,92/230,journal of interventional cardiac electrophysiology,J. Interventional Card. Electrophysiol.,0.767,Q2,64.0,Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Physiology (medical) (Q2),Medicine
6008.0,HONG KONG MEDICAL JOURNAL,2024.0,HONG KONG MED J,HONG KONG ACAD MEDICINE PRESS,1024-2708,1024-2708,1766.0,34.0,34.0,8.7,7.0,2.6,2.9,2.1,0.59,Q1,70/332,hong kong medical journal,Hong Kong Med. J.,0.261,Q3,57.0,Medicine (miscellaneous) (Q3),Medicine
6008.0,NEFROLOGIA,2024.0,NEFROLOGIA,SOC ESPANOLA NEFROLOGIA DR RAFAEL MATESANZ,0211-6995,1989-2284,1833.0,70.0,88.0,6.5,7.6,2.6,2.5,2.2,0.59,Q2,42/133,nefrologia,Nefrologia,0.456,Q3,44.0,Nephrology (Q3),Medicine
6008.0,Structure and Infrastructure Engineering,2024.0,STRUCT INFRASTRUCT E,TAYLOR & FRANCIS LTD,1573-2479,1744-8980,5344.0,111.0,115.0,5.5,7.6,2.6,3.7,2.4,0.59,Q2,71/182,structure and infrastructure engineering,Struct. Infrastruct. Eng.,1.004,Q1,71.0,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)",Earth and Planetary Sciences; Engineering
6008.0,ANAEROBE,2024.0,ANAEROBE,ELSEVIER SCI LTD,1075-9964,1095-8274,5226.0,65.0,70.0,8.5,8.4,2.6,2.5,2.4,0.58,Q3,99/163,anaerobe,Anaerobe,0.719,Q2,93.0,Infectious Diseases (Q2); Microbiology (Q2),Immunology and Microbiology; Medicine
6008.0,Biomarker Insights,2024.0,BIOMARK INSIGHTS,SAGE PUBLICATIONS LTD,1177-2719,1177-2719,965.0,20.0,25.0,8.3,7.5,2.6,3.3,2.6,0.58,Q3,100/195,biomarker insights,Biomarker Insights,0.974,Q1,40.0,Pharmacology (Q1); Biochemistry (medical) (Q2); Molecular Medicine (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
6008.0,DIFFERENTIATION,2024.0,DIFFERENTIATION,ELSEVIER SCI LTD,0301-4681,1432-0436,2319.0,36.0,38.0,13.2,13.1,2.6,2.6,2.5,0.58,Q2,12/39,differentiation,Differentiation,0.619,Q3,107.0,Cancer Research (Q3); Cell Biology (Q3); Developmental Biology (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology"
6008.0,GEOINFORMATICA,2024.0,GEOINFORMATICA,SPRINGER,1384-6175,1573-7624,813.0,18.0,21.0,6.0,5.8,2.6,2.5,2.4,0.58,Q2,29/67,geoinformatica,Geoinformatica,0.695,Q1,62.0,"Geography, Planning and Development (Q1); Information Systems (Q2)",Computer Science; Social Sciences
6008.0,Journal of the American Nutrition Association,2024.0,J AM NUTR ASSOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2769-7061,2769-707X,587.0,59.0,73.0,2.8,6.9,2.6,5.2,2.6,0.58,Q3,59/112,journal of the american nutrition association,J. Am. Nutr. Assoc.,,,,,
6008.0,EXTREMOPHILES,2024.0,EXTREMOPHILES,SPRINGER JAPAN KK,1431-0651,1433-4909,3116.0,42.0,47.0,10.6,10.1,2.6,2.7,2.4,0.57,Q3,99/163,extremophiles,Extremophiles,0.726,Q2,95.0,Medicine (miscellaneous) (Q2); Microbiology (Q2); Molecular Medicine (Q3),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
6008.0,Future Oncology,2024.0,FUTURE ONCOL,TAYLOR & FRANCIS LTD,1479-6694,1744-8301,7830.0,198.0,265.0,5.1,5.2,2.6,2.8,2.6,0.57,Q3,181/326,future oncology,Future Oncol.,1.029,Q1,90.0,Medicine (miscellaneous) (Q1); Cancer Research (Q2); Oncology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
6008.0,INTERNATIONAL JOURNAL OF REMOTE SENSING,2024.0,INT J REMOTE SENS,TAYLOR & FRANCIS LTD,0143-1161,1366-5901,26633.0,393.0,408.0,13.3,5.9,2.6,2.9,2.4,0.57,Q3,33/65,international journal of remote sensing,Int. J. Remote Sens.,0.776,Q1,203.0,Earth and Planetary Sciences (miscellaneous) (Q1),Earth and Planetary Sciences
6008.0,Journal of Geriatric Cardiology,2024.0,J GERIATR CARDIOL,TSINGHUA UNIV PRESS,1671-5411,1671-5411,2311.0,65.0,73.0,6.0,6.1,2.6,2.9,2.6,0.57,Q2,92/230,journal of geriatric cardiology,J. Geriatr. Cardiol.,0.509,Q3,47.0,Cardiology and Cardiovascular Medicine (Q3); Geriatrics and Gerontology (Q3),Medicine
6008.0,Leukos,2024.0,LEUKOS,TAYLOR & FRANCIS INC,1550-2724,1550-2716,790.0,33.0,34.0,5.1,8.6,2.6,3.7,2.4,0.57,Q2,37/95,leukos,Leukos,,,,,
6008.0,MOLECULAR MICROBIOLOGY,2024.0,MOL MICROBIOL,WILEY,0950-382X,1365-2958,27370.0,88.0,116.0,17.4,11.3,2.6,3.2,2.4,0.57,Q3,99/163,molecular microbiology,Mol. Microbiol.,1.208,Q1,271.0,Microbiology (Q1); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
6008.0,Advances in Medical Sciences,2024.0,ADV MED SCI-POLAND,ELSEVIER URBAN & PARTNER SP Z O O,1896-1126,1898-4002,1723.0,56.0,64.0,6.4,7.3,2.6,2.7,2.6,0.56,Q3,100/195,advances in medical sciences,Adv. Med. Sci.-Poland.,0.598,Q2,49.0,Medicine (miscellaneous) (Q2),Medicine
6008.0,Clinical Nutrition ESPEN,2024.0,CLIN NUTR ESPEN,ELSEVIER,2405-4577,2405-4577,5319.0,323.0,368.0,3.5,6.8,2.6,2.9,2.5,0.56,Q3,59/112,clinical nutrition espen,Clin. Nutr. Espen,0.772,Q2,39.0,"Endocrinology, Diabetes and Metabolism (Q2); Nutrition and Dietetics (Q2)",Medicine; Nursing
6008.0,DATA & KNOWLEDGE ENGINEERING,2024.0,DATA KNOWL ENG,ELSEVIER,0169-023X,1872-6933,1736.0,73.0,74.0,9.4,6.6,2.6,2.3,2.4,0.56,Q3,135/258,data and knowledge engineering,Data Knowl. Eng.,0.691,Q2,94.0,Information Systems and Management (Q2),Decision Sciences
6008.0,Journal of Accounting Literature,2024.0,J ACCOUNT LIT,EMERALD GROUP PUBLISHING LTD,0737-4607,2452-1469,1114.0,81.0,82.0,8.4,8.9,2.6,3.3,1.9,0.56,Q2,74/241,journal of accounting literature,J. Account. Lit.,,,,,
6008.0,Journal of Medical Toxicology,2024.0,J MED TOXICOL,SPRINGER,1556-9039,1937-6995,1676.0,40.0,40.0,8.7,7.5,2.6,2.7,2.2,0.56,Q3,64/106,journal of medical toxicology,J. Med. Toxicol.,0.701,Q2,58.0,"Health, Toxicology and Mutagenesis (Q2); Toxicology (Q2)","Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
6008.0,Journal of Transportation Safety & Security,2024.0,J TRANSP SAF SECUR,TAYLOR & FRANCIS INC,1943-9962,1943-9970,1332.0,42.0,43.0,4.3,6.0,2.6,2.7,2.3,0.56,Q3,38/61,journal of transportation safety and security,J. Transp. Saf. Secur.,0.699,Q1,28.0,Safety Research (Q1); Transportation (Q2),Social Sciences
6008.0,Bone Reports,2024.0,BONE REP,ELSEVIER,2352-1872,2352-1872,1468.0,81.0,86.0,4.1,9.0,2.6,2.5,2.5,0.55,Q3,114/191,bone reports,Bone Rep.,0.596,Q2,32.0,"Orthopedics and Sports Medicine (Q2); Endocrinology, Diabetes and Metabolism (Q3)",Medicine
6008.0,Cancer Control,2024.0,CANCER CONTROL,SAGE PUBLICATIONS INC,1073-2748,1526-2359,3048.0,164.0,208.0,4.9,6.1,2.6,2.7,2.5,0.55,Q3,181/326,cancer control,Cancer Control,0.698,Q2,80.0,Hematology (Q2); Medicine (miscellaneous) (Q2); Oncology (Q2),Medicine
6008.0,European Journal of Microbiology and Immunology,2024.0,EUR J MICROBIOL IMMU,AKADEMIAI KIADO ZRT,2062-8633,2062-8633,760.0,33.0,38.0,7.2,6.6,2.6,3.3,2.4,0.55,Q3,99/163,european journal of microbiology and immunology,Eur. J. Microbiol. Immu.,0.601,Q2,15.0,Microbiology (medical) (Q2); Immunology (Q3); Immunology and Allergy (Q3); Microbiology (Q3),Immunology and Microbiology; Medicine
6008.0,Heat Transfer,2024.0,HEAT TRANSF,WILEY,2688-4534,2688-4542,4383.0,265.0,265.0,3.5,5.9,2.6,2.7,2.3,0.55,Q2,30/79,heat transfer,Heat Transfer,0.522,Q2,46.0,Condensed Matter Physics (Q2); Fluid Flow and Transfer Processes (Q2),Chemical Engineering; Physics and Astronomy
6008.0,IET Generation Transmission & Distribution,2024.0,IET GENER TRANSM DIS,INST ENGINEERING TECHNOLOGY-IET,1751-8687,1751-8695,10075.0,248.0,250.0,5.5,4.9,2.6,2.3,2.4,0.55,Q2,172/366,iet generation transmission and distribution,Iet Gener. Transm. Dis.,,,,,
6008.0,IT Professional,2024.0,IT PROF,IEEE COMPUTER SOC,1520-9202,1941-045X,1422.0,74.0,74.0,5.4,4.2,2.6,2.7,2.5,0.55,Q2,57/128,it professional,IT Prof.,0.594,Q2,62.0,Computer Science Applications (Q2); Hardware and Architecture (Q2); Software (Q2),Computer Science
6008.0,Universe,2024.0,UNIVERSE-BASEL,MDPI,,2218-1997,6188.0,388.0,459.0,2.9,10.8,2.6,2.6,2.4,0.55,Q2,35/84,universe,Universe,0.78,Q1,40.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy
6008.0,YEAST,2024.0,YEAST,WILEY,0749-503X,1097-0061,3815.0,28.0,37.0,18.6,10.5,2.6,2.7,2.4,0.55,Q3,101/177,yeast,Yeast,0.608,Q2,111.0,Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Bioengineering (Q3); Genetics (Q3),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology; Medicine"
6008.0,Canadian Journal of Infectious Diseases & Medical Microbiology,2024.0,CAN J INFECT DIS MED,WILEY,1712-9532,1918-1493,2056.0,52.0,59.0,5.5,5.6,2.6,2.8,2.5,0.54,Q2,63/137,canadian journal of infectious diseases and medical microbiology,Can. J. Infect. Dis. Med. Microbiol.,0.595,Q2,48.0,Infectious Diseases (Q2); Microbiology (medical) (Q3),Medicine
6008.0,Express Polymer Letters,2024.0,EXPRESS POLYM LETT,BUDAPEST UNIV TECHNOL & ECON,1788-618X,1788-618X,3255.0,76.0,84.0,8.6,7.0,2.6,2.6,2.4,0.54,Q3,54/94,express polymer letters,eXPRESS Polym. Lett.,0.496,Q2,87.0,Chemical Engineering (miscellaneous) (Q2); Materials Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Polymers and Plastics (Q2),Chemical Engineering; Chemistry; Materials Science
6008.0,Journal of Tissue Engineering and Regenerative Medicine,2024.0,J TISSUE ENG REGEN M,WILEY,1932-6254,1932-7005,5486.0,10.0,11.0,6.7,8.6,2.6,3.5,2.6,0.54,Q3,101/177,journal of tissue engineering and regenerative medicine,J. Tissue Eng. Regener. Med.,0.62,Q2,91.0,Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2); Biomaterials (Q3),Engineering; Materials Science; Medicine
6008.0,ORGANIC ELECTRONICS,2024.0,ORG ELECTRON,ELSEVIER,1566-1199,1878-5530,10920.0,138.0,140.0,6.8,5.3,2.6,2.6,2.5,0.54,Q3,97/187,organic electronics,Org. Electron.,0.648,Q2,116.0,"Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Biomaterials (Q3)",Chemistry; Engineering; Materials Science; Physics and Astronomy
6008.0,ANTI-CORROSION METHODS AND MATERIALS,2024.0,ANTI-CORROS METHOD M,EMERALD GROUP PUBLISHING LTD,0003-5599,1758-4221,1592.0,83.0,88.0,6.1,6.0,2.6,2.0,1.6,0.53,Q2,29/96,anti corrosion methods and materials,Anti-Corros. Methods Mater.,0.365,Q3,37.0,Chemical Engineering (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3),Chemical Engineering; Materials Science
6008.0,Biomolecular Concepts,2024.0,BIOMOL CONCEPTS,WALTER DE GRUYTER GMBH,1868-5021,1868-503X,1170.0,8.0,13.0,8.4,7.0,2.6,,2.6,0.53,Q3,207/319,biomolecular concepts,Biomol. Concepts,0.592,Q2,44.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Cellular and Molecular Neuroscience (Q4)","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
6008.0,International Journal of Housing Policy,2024.0,INT J HOUS POLICY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1949-1247,1949-1255,999.0,38.0,40.0,5.3,6.8,2.6,3.3,2.1,0.53,Q2,23/76,international journal of housing policy,Int. J. Hous. Policy,0.849,Q1,43.0,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)",Environmental Science; Social Sciences
6008.0,OPERATIONS RESEARCH,2024.0,OPER RES,INFORMS,0030-364X,,15475.0,132.0,132.0,17.8,10.2,2.6,3.3,2.4,0.53,Q2,42/106,operations research,Oper. Res.,2.848,Q1,161.0,Computer Science Applications (Q1); Management Science and Operations Research (Q1),Computer Science; Decision Sciences
6008.0,World Electric Vehicle Journal,2024.0,WORLD ELECTR VEHIC J,MDPI,2032-6653,2032-6653,3807.0,531.0,587.0,2.9,4.6,2.6,,2.2,0.53,Q2,172/366,world electric vehicle journal,World Electr. Vehic. J.,0.567,Q2,32.0,Automotive Engineering (Q2),Engineering
6008.0,Agroecology and Sustainable Food Systems,2024.0,AGROECOL SUST FOOD,TAYLOR & FRANCIS INC,2168-3565,2168-3573,1914.0,77.0,83.0,5.9,7.5,2.6,3.1,2.3,0.52,Q2,26/94,agroecology and sustainable food systems,Agroecol. Sustainable Food Syst.,0.628,Q1,56.0,"Agronomy and Crop Science (Q1); Development (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Agricultural and Biological Sciences; Energy; Social Sciences
6008.0,Beni-Suef University Journal of Basic and Applied Sciences,2024.0,BENI-SUEF U J BASIC,SPRINGERNATURE,,2314-8543,1963.0,105.0,124.0,3.8,7.1,2.6,2.7,2.6,0.52,Q2,44/135,beni suef university journal of basic and applied sciences,Beni-Suef Univ. J. Basic Appl. Sci.,0.476,Q2,18.0,Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmaceutical Science (Q2); Medicine (miscellaneous) (Q3),"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
6008.0,Cancer Management and Research,2024.0,CANCER MANAG RES,DOVE MEDICAL PRESS LTD,1179-1322,1179-1322,11206.0,120.0,147.0,4.8,5.5,2.6,2.6,2.6,0.52,Q3,181/326,cancer management and research,Cancer Manag. Res.,0.675,Q3,67.0,Oncology (Q3),Medicine
6008.0,International Journal of Material Forming,2024.0,INT J MATER FORM,SPRINGER FRANCE,1960-6206,1960-6214,2142.0,56.0,59.0,6.4,8.1,2.6,2.5,2.5,0.52,Q2,29/96,international journal of material forming,Int. J. Mater. Form.,0.484,Q2,49.0,Materials Science (miscellaneous) (Q2),Materials Science
6008.0,Medicinal Chemistry,2024.0,MED CHEM,BENTHAM SCIENCE PUBL LTD,1573-4064,1875-6638,2478.0,64.0,101.0,7.2,8.0,2.6,2.3,2.5,0.52,Q3,48/72,medicinal chemistry,Med. Chem.,0.337,Q3,50.0,Drug Discovery (Q3),"Pharmacology, Toxicology and Pharmaceutics"
6008.0,PLATELETS,2024.0,PLATELETS,TAYLOR & FRANCIS INC,0953-7104,1369-1635,3816.0,46.0,52.0,6.3,8.4,2.6,2.6,2.5,0.52,Q2,42/98,platelets,Platelets,0.816,Q2,80.0,Hematology (Q2); Medicine (miscellaneous) (Q2),Medicine
6008.0,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,2024.0,PUBL ASTRON SOC JPN,OXFORD UNIV PRESS,0004-6264,2053-051X,6972.0,117.0,117.0,10.2,9.9,2.6,2.6,2.3,0.52,Q2,35/84,publications of the astronomical society of japan,Publ. Astron. Soc. Jpn.,,,,,
6008.0,DNA AND CELL BIOLOGY,2024.0,DNA CELL BIOL,"MARY ANN LIEBERT, INC",1044-5498,1557-7430,3871.0,52.0,62.0,7.0,6.7,2.6,2.4,2.6,0.51,Q2,90/191,dna and cell biology,DNA Cell Biol.,0.694,Q2,87.0,Medicine (miscellaneous) (Q2); Cell Biology (Q3); Genetics (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
6008.0,Frontiers in Astronomy and Space Sciences,2024.0,FRONT ASTRON SPACE,FRONTIERS MEDIA SA,2296-987X,2296-987X,3666.0,170.0,213.0,2.9,10.2,2.6,2.9,2.3,0.5,Q2,35/84,frontiers in astronomy and space sciences,Front. Astron. Space Sci.,0.644,Q2,31.0,Astronomy and Astrophysics (Q2),Physics and Astronomy
6008.0,Journal of Social Marketing,2024.0,J SOC MARKET,EMERALD GROUP PUBLISHING LTD,2042-6763,2042-6771,688.0,17.0,18.0,4.9,6.5,2.6,2.8,2.2,0.5,Q3,171/316,journal of social marketing,J. Soc. Market.,0.714,Q2,33.0,Management of Technology and Innovation (Q2); Marketing (Q2),"Business, Management and Accounting"
6008.0,Materials Letters-X,2024.0,MATER LETT-X,ELSEVIER,2590-1508,2590-1508,381.0,7.0,7.0,2.6,5.2,2.6,2.2,2.6,0.5,Q3,97/187,materials letters x,Mater. Lett.: X,0.376,Q3,11.0,Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3),Engineering; Materials Science; Physics and Astronomy
6008.0,Tissue Engineering Part C-Methods,2024.0,TISSUE ENG PART C-ME,"MARY ANN LIEBERT, INC",1937-3384,1937-3392,2923.0,47.0,47.0,9.2,7.5,2.6,2.6,2.6,0.5,Q3,72/124,tissue engineering part c methods,Tissue Eng. Part C-Me.,0.603,Q2,88.0,Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2); Bioengineering (Q3),Chemical Engineering; Engineering; Medicine
6008.0,Anemia,2024.0,ANEMIA,WILEY,2090-1267,2090-1275,502.0,9.0,10.0,8.7,7.0,2.6,2.8,2.6,0.49,Q2,42/98,anemia,Anemia,0.524,Q3,31.0,Hematology (Q3); Cell Biology (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
6008.0,ENVIRONMENTAL MODELING & ASSESSMENT,2024.0,ENVIRON MODEL ASSESS,SPRINGER,1420-2026,1573-2967,1572.0,60.0,64.0,5.8,7.2,2.6,2.3,2.5,0.49,Q3,223/374,environmental modeling and assessment,Environ. Model. Assess.,0.541,Q2,58.0,Environmental Science (miscellaneous) (Q2),Environmental Science
6008.0,Journal of Thermal Science,2024.0,J THERM SCI,SPRINGER,1003-2169,1993-033X,3128.0,158.0,160.0,4.3,6.7,2.6,2.6,2.2,0.49,Q2,30/79,journal of thermal science,J. Therm. Sci.,0.527,Q2,37.0,Condensed Matter Physics (Q2),Physics and Astronomy
6008.0,MICROPROCESSORS AND MICROSYSTEMS,2024.0,MICROPROCESS MICROSY,ELSEVIER,0141-9331,1872-9436,3235.0,59.0,59.0,3.8,6.5,2.6,1.9,2.6,0.49,Q2,54/147,microprocessors and microsystems,Microprocess. Microsyst.,0.549,Q2,51.0,Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Artificial Intelligence (Q3); Software (Q3),Computer Science
6008.0,IEEE Journal of Photovoltaics,2024.0,IEEE J PHOTOVOLT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2156-3381,2156-3403,6383.0,105.0,105.0,6.0,5.9,2.6,3.1,2.5,0.48,Q3,97/187,ieee journal of photovoltaics,IEEE J. Photovoltaics,0.837,Q1,93.0,"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)",Engineering; Materials Science; Physics and Astronomy
6008.0,ACM Journal on Emerging Technologies in Computing Systems,2024.0,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,1550-4832,1550-4840,1037.0,15.0,15.0,5.2,6.8,2.6,2.4,2.5,0.47,Q2,172/366,acm journal on emerging technologies in computing systems,ACM J. Emerging Technol. Comput. Syst.,0.68,Q2,47.0,Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q2); Software (Q2),Computer Science; Engineering; Materials Science
6008.0,CES Transactions on Electrical Machines and Systems,2024.0,CES TRANS ELECTR MAC,China Electrotechnical Soc,2096-3564,2096-3564,890.0,39.0,46.0,4.3,6.0,2.6,,2.1,0.47,Q2,172/366,ces transactions on electrical machines and systems,CES Trans. Electr. Mach. Syst.,0.959,Q1,23.0,Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2),Engineering
6008.0,Crohns & Colitis 360,2024.0,CROHNS COLITIS 360,OXFORD UNIV PRESS,,2631-827X,670.0,66.0,66.0,3.0,6.3,2.6,2.1,2.5,0.47,Q2,65/147,crohns and colitis 360,Crohns Colitis 360,,,,,
6008.0,JOURNAL OF ELECTROCERAMICS,2024.0,J ELECTROCERAM,SPRINGER,1385-3449,1573-8663,2575.0,35.0,35.0,15.4,7.6,2.6,2.2,2.6,0.47,Q2,10/33,journal of electroceramics,J. Electroceram.,0.365,Q3,80.0,"Ceramics and Composites (Q3); Condensed Matter Physics (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q3); Materials Chemistry (Q3); Mechanics of Materials (Q3)",Engineering; Materials Science; Physics and Astronomy
6008.0,ADVANCES IN STRUCTURAL ENGINEERING,2024.0,ADV STRUCT ENG,SAGE PUBLICATIONS INC,1369-4332,2048-4011,5879.0,198.0,207.0,5.5,7.3,2.6,2.7,2.4,0.46,Q2,37/95,advances in structural engineering,Adv. Struct. Eng.,0.695,Q1,58.0,Building and Construction (Q1); Civil and Structural Engineering (Q2),Engineering
6008.0,CURRENT PHARMACEUTICAL BIOTECHNOLOGY,2024.0,CURR PHARM BIOTECHNO,BENTHAM SCIENCE PUBL LTD,1389-2010,1873-4316,4758.0,102.0,279.0,7.8,7.3,2.6,2.4,2.5,0.46,Q3,177/352,current pharmaceutical biotechnology,Current Pharm. Biotechnol.,0.492,Q2,97.0,Pharmaceutical Science (Q2); Biotechnology (Q3),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
6008.0,IET Information Security,2024.0,IET INFORM SECUR,WILEY,1751-8709,1751-8717,805.0,49.0,50.0,5.1,5.8,2.6,1.7,2.5,0.45,Q2,54/147,iet information security,IET Inf. Secur.,0.48,Q2,42.0,Computer Networks and Communications (Q2); Information Systems (Q2); Software (Q3),Computer Science
6008.0,International Journal of Network Management,2024.0,INT J NETW MANAG,WILEY,1055-7148,1099-1190,512.0,47.0,47.0,4.4,4.1,2.6,2.2,2.5,0.45,Q3,63/120,international journal of network management,Int. J. Network Manage.,0.599,Q2,33.0,Computer Networks and Communications (Q2); Computer Science Applications (Q2),Computer Science
